uid,query,docid
1001,伤心了,14891933934017854950
1001,伤心了,4687366425634862970
1001,伤心了,17992464332583077268
1001,伤心了,13588476748900761843
1001,伤心了,1188831820808258099
1001,伤心了,10803450638155322959
1001,伤心了,17992464332583077268
1001,伤心了,10398178748972908969
1001,伤心了,232488271641426175
1001,伤心了,7935145842597854970
1001,错了,411117514474961890
1001,错了,2955329505679026451
1001,错了,12533557723495676347
1001,错了,14552789768087122433
1001,错了,7077704223283159089
1001,错了,12660718985141786289
1001,错了,7170811822915426997
1001,错了,7264621859982451548
1001,错了,15214800370955501009
1001,错了,349607757225421337
1001,。。。,13782980669011487281
1001,。。。,13789224154016390947
1001,。。。,9491945921046664836
1001,。。。,1518215359171028713
1001,。。。,10669316016306319207
1001,。。。,2825343915810818772
1001,。。。,1964866098359220773
1001,。。。,1727732381804855416
1001,。。。,8003932846413683666
1001,。。。,13959935532632411936
1001,姐姐,9502745069156979156
1001,姐姐,11842684482792620957
1001,姐姐,15169062583179608573
1001,姐姐,4128632658667378689
1001,姐姐,2568250190310802677
1001,姐姐,18369197690163688629
1001,姐姐,11651160338086899681
1001,姐姐,14333696002772455074
1001,姐姐,2828832756289107574
1001,mua,1351980926555088609
1001,mua,3310802044833991157
1001,mua,554283352201671642
1001,mua,4113653236253862400
1001,mua,6832961205346713254
1001,mua,5772747203802673387
1001,mua,2656793322841412334
1001,mua,17971161367889455496
1001,mua,2492043018557516024
1001,mua,9185105273843759431
1001,宝宝,3745100363132900214
1001,宝宝,9984888515774830885
1001,宝宝,17627389800444118804
1001,宝宝,6627321902208157539
1001,宝宝,7239540297301586954
1001,宝宝,15927608946746899731
1001,宝宝,18293070806119743118
1001,宝宝,15342374997878287165
1001,宝宝,10160242149684051131
1001,宝宝,12810282578841265887
1001,呜呜呜,2188525840019692277
1001,呜呜呜,10169753544329042284
1001,呜呜呜,9662572259961175861
1001,呜呜呜,3226532713922420660
1001,呜呜呜,12624878135903656108
1001,呜呜呜,437674514269203929
1001,呜呜呜,2153224258723981499
1001,呜呜呜,12083603913512558522
1001,呜呜呜,17371024872393558236
1001,呜呜呜,5189713619326771603
1001,？,199627445554150742
1001,？,8417286879501170001
1001,？,7209520265251277383
1001,？,3771192534788970593
1001,？,8521418437102229252
1001,？,14533939249086786440
1001,？,8310342790965077921
1001,？,16950738262955125111
1001,？,12686422233788229739
1001,？,15915624862234352556
1001,emo,11683557794827652849
1001,emo,13485611717905068571
1001,emo,11030619678306154913
1001,emo,5127589972584519633
1001,emo,3482323013991486900
